ORPHAcode	PreferredTerm	Synonyms	ICDcodes
1899	Arthrochalasia Ehlers-Danlos syndrome		Q79.6
1899	Arthrochalasia Ehlers-Danlos syndrome	Arthrochalasia EDS	
1899	Arthrochalasia Ehlers-Danlos syndrome	Arthrochalasis multiplex congenita	
1899	Arthrochalasia Ehlers-Danlos syndrome	EDS VII	
1899	Arthrochalasia Ehlers-Danlos syndrome	Ehlers-Danlos syndrome type 7	
1899	Arthrochalasia Ehlers-Danlos syndrome	Ehlers-Danlos syndrome, arthrochalasia type	
1899	Arthrochalasia Ehlers-Danlos syndrome	aEDS	
839	Congenital nephrotic syndrome, Finnish type		N04.8
839	Congenital nephrotic syndrome, Finnish type	Finnish congenital nephrosis	
531	Miller-Dieker syndrome		Q04.3
531	Miller-Dieker syndrome	Lissencephaly due to 17p13.3 deletion	
531	Miller-Dieker syndrome	Monosomy 17p13.3	
531	Miller-Dieker syndrome	Telomeric deletion 17p	
1084	Isolated lissencephaly type 1 without known genetic defects		Q04.3
1083	Microlissencephaly		Q04.3
452	X-linked lissencephaly with abnormal genitalia		Q04.3
452	X-linked lissencephaly with abnormal genitalia	X-linked lissencephaly with ambiguous genitalia	
452	X-linked lissencephaly with abnormal genitalia	X-linked lissencephaly-corpus callosum agenesis-genital anomalies syndrome	
452	X-linked lissencephaly with abnormal genitalia	XLAG (X-linked lissencephaly with abnormal genitalia) syndrome	
238750	4q21 microdeletion syndrome		Q93.5
238750	4q21 microdeletion syndrome	Del(4)(q21)	
238750	4q21 microdeletion syndrome	Monosomy 4q21	
238763	Glaucoma secondary to spherophakia/ectopia lentis and megalocornea		Q15.8
238763	Glaucoma secondary to spherophakia/ectopia lentis and megalocornea	Megalocornea-spherophakia-secondary glaucoma syndrome	
238722	Familial congenital mirror movements		G25.8
238722	Familial congenital mirror movements	Familial congenital controlateral synkinesia	
238722	Familial congenital mirror movements	Hereditary congenital controlateral synkinesia	
238722	Familial congenital mirror movements	Hereditary congenital mirror movements	
238722	Familial congenital mirror movements	Isolated congenital controlateral synkinesia	
238722	Familial congenital mirror movements	Isolated congenital mirror movements	
238744	Mammary-digital-nail syndrome		Q87.2
238744	Mammary-digital-nail syndrome	MDN syndrome	
238744	Mammary-digital-nail syndrome	Onycho-digito-mammary syndrome	
238769	1q44 microdeletion syndrome		Q93.5
238769	1q44 microdeletion syndrome	Del(1)(q44)	
238769	1q44 microdeletion syndrome	Monosomy 1q44	
238505	Combined immunodeficiency due to CD27 deficiency		D47.9
238505	Combined immunodeficiency due to CD27 deficiency	Autosomal recessive lymphoproliferative disease due to CD27 deficiency	
238505	Combined immunodeficiency due to CD27 deficiency	CD27 deficiency	
238468	Hypohidrotic ectodermal dysplasia		Q82.4
238468	Hypohidrotic ectodermal dysplasia	Anhidrotic ectodermal dysplasia	
238468	Hypohidrotic ectodermal dysplasia	HED	
238475	Familial hypercholanemia		E88.8
238475	Familial hypercholanemia	Hereditary hypercholanemia	
238455	Infantile dystonia-parkinsonism		G24.8
238455	Infantile dystonia-parkinsonism	IPD	
238455	Infantile dystonia-parkinsonism	PKDYS	
238459	SLC35A1-CDG		E77.8
238459	SLC35A1-CDG	CDG syndrome type IIf	
238459	SLC35A1-CDG	CDG-IIf	
238459	SLC35A1-CDG	CDG2F	
238459	SLC35A1-CDG	CMP-sialic acid transporter deficiency	
238459	SLC35A1-CDG	Carbohydrate deficient glycoprotein syndrome type IIf	
238459	SLC35A1-CDG	Congenital disorder of glycosylation type 2f	
238459	SLC35A1-CDG	Congenital disorder of glycosylation type IIf	
238583	Hyperphenylalaninemia due to tetrahydrobiopterin deficiency		E70.1
238583	Hyperphenylalaninemia due to tetrahydrobiopterin deficiency	Hyperphenylalaninemia due to BH4 deficiency	
238583	Hyperphenylalaninemia due to tetrahydrobiopterin deficiency	Non-phenylketonuric hyperphenylalaninemia	
238557	Chuvash erythrocytosis		D75.1
238557	Chuvash erythrocytosis	Chuvash polycythemia	
238557	Chuvash erythrocytosis	Von Hippel-Lindau-dependent polycythemia	
238569	Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome		K52.8
238569	Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome	IL10-related early-onset IBD	
238569	Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome	IL10-related early-onset inflammatory bowel disease	
238523	Atypical hypotonia-cystinuria syndrome		E72.0
238523	Atypical hypotonia-cystinuria syndrome	Atypical HCS	
238637	Megacystis-megaureter syndrome		Q62.7
238637	Megacystis-megaureter syndrome	Megaureter-megacystis syndrome	
238624	Idiopathic intracranial hypertension		G93.2
238624	Idiopathic intracranial hypertension	Benign intracranial hypertension	
238624	Idiopathic intracranial hypertension	IIH	
238624	Idiopathic intracranial hypertension	Pseudotumor cerebri	
238621	Ileal pouch anal anastomosis related faecal incontinence		K91.8
238606	Primary orthostatic tremor		G25.2
238606	Primary orthostatic tremor	POT	
238688	Neonatal iodine exposure		P72.2
238670	Isolated thyrotropin-releasing hormone deficiency		E03.1
238670	Isolated thyrotropin-releasing hormone deficiency	Isolated TRF deficiency	
238670	Isolated thyrotropin-releasing hormone deficiency	Isolated TRH deficiency	
238670	Isolated thyrotropin-releasing hormone deficiency	Isolated TSH-releasing factor deficiency	
238670	Isolated thyrotropin-releasing hormone deficiency	Isolated prothyroliberin deficiency	
238670	Isolated thyrotropin-releasing hormone deficiency	Isolated protirelin deficiency	
238670	Isolated thyrotropin-releasing hormone deficiency	Isolated thyroliberin deficiency	
238670	Isolated thyrotropin-releasing hormone deficiency	Isolated thyrotropin-releasing factor deficiency	
238666	Isolated congenital hypogonadotropic hypogonadism		E23.0
238666	Isolated congenital hypogonadotropic hypogonadism	Gonadotropic deficiency	
238666	Isolated congenital hypogonadotropic hypogonadism	Isolated congenital gonadotropin deficiency	
238666	Isolated congenital hypogonadotropic hypogonadism	Isolated gonadotropin-releasing hormone deficiency	
240760	Nijmegen breakage syndrome-like disorder		Q87.8
240760	Nijmegen breakage syndrome-like disorder	Microcephaly and chromosomal instability without immunodeficiency	
240760	Nijmegen breakage syndrome-like disorder	NBS-like disorder	
240760	Nijmegen breakage syndrome-like disorder	NBSLD	
240760	Nijmegen breakage syndrome-like disorder	RAD50 deficiency	
331226	Susceptibility to infection due to TYK2 deficiency		D82.4
331235	Selective IgM deficiency		D80.4
331235	Selective IgM deficiency	Selective immunoglobulin M deficiency	
331176	Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency		D70
331176	Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency	SCN4	
331176	Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency	Severe congenital neutropenia type 4	
331176	Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency	Severe congenital neutropenia-pulmonary hypertension-superficial venous angiectasis syndrome	
331187	Immunodeficiency due to MASP-2 deficiency		D84.1
331190	Immunodeficiency due to ficolin3 deficiency		D84.1
331206	Severe combined immunodeficiency due to complete RAG1/2 deficiency		D81.1
331206	Severe combined immunodeficiency due to complete RAG1/2 deficiency	SCID due to complete RAG1/2 deficiency	
330064	Chronic actinic dermatitis		L57.1
330064	Chronic actinic dermatitis	Actinic reticuloid	
330064	Chronic actinic dermatitis	Chronic photosensitivity dermatitis	
330001	Wild type ATTR amyloidosis		E85.8
330001	Wild type ATTR amyloidosis	ATTRwt amyloidosis	
330001	Wild type ATTR amyloidosis	ATTRwt-related amyloidosis	
330001	Wild type ATTR amyloidosis	Senile systemic amyloidosis	
330001	Wild type ATTR amyloidosis	Wild type ATTR-related amyloidosis	
330012	High altitude pulmonary edema		J81
330012	High altitude pulmonary edema	HAPE	
330015	Lead poisoning		T56.0
330015	Lead poisoning	Lead intoxication	
330015	Lead poisoning	Plumbism	
330015	Lead poisoning	Saturnism	
330032	Hemoglobin Lepore-beta-thalassemia syndrome		D56.8
330032	Hemoglobin Lepore-beta-thalassemia syndrome	HbLepore-beta-thalassemia syndrome	
330032	Hemoglobin Lepore-beta-thalassemia syndrome	Lepore-beta-thalassemia syndrome	
330041	Hemoglobin M disease		D74.0
330041	Hemoglobin M disease	M hemoglobinopathy	
330021	Mercury poisoning		T56.1
330021	Mercury poisoning	Hydrargyria	
330021	Mercury poisoning	Mercurialism	
330021	Mercury poisoning	Mercury intoxication	
330029	Hypotrichosis-deafness syndrome		H90.5
330029	Hypotrichosis-deafness syndrome	Hypotrichosis-hearing loss syndrome	
330058	Hydroa vacciniforme		L56.4
330061	Actinic prurigo		L56.4
330061	Actinic prurigo	Familial polymorphous light eruption of American Indians	
330061	Actinic prurigo	Hereditary polymorphous light eruption of American Indians	
330061	Actinic prurigo	Hutchinson summer prurigo	
330061	Actinic prurigo	Hydroa aestivale	
330054	Congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome		G71.3
330054	Congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome	Congenital cataract-progressive muscular hypotonia-deafness-developmental delay syndrome	
329813	Mosaic genome-wide paternal uniparental disomy		Q95.8
329813	Mosaic genome-wide paternal uniparental disomy	Androgenetic/biparental mosaicism	
329813	Mosaic genome-wide paternal uniparental disomy	Genome-wide paternal uniparental disomy mosaicism	
329813	Mosaic genome-wide paternal uniparental disomy	Mosaic genome-wide paternal UPD	
329802	5p13 microduplication syndrome		Q92.3
329802	5p13 microduplication syndrome	Dup(5)(p13)	
329802	5p13 microduplication syndrome	Trisomy 5p13	
329883	Non-hypoproteinemic hypertrophic gastropathy		K29.6
329883	Non-hypoproteinemic hypertrophic gastropathy	Hypertrophic gastropathy without hypoproteinemia	
329874	Idiopathic giant cell myocarditis		I40.1
329874	Idiopathic giant cell myocarditis	IGCM	
329475	Spastic paraplegia-Paget disease of bone syndrome		G11.4
329481	Lipoprotein glomerulopathy		N07.8
329481	Lipoprotein glomerulopathy	LPG	
329478	Adult-onset distal myopathy due to VCP mutation		G71.0
329942	Transient neonatal multiple acyl-CoA dehydrogenase deficiency		E71.3
329942	Transient neonatal multiple acyl-CoA dehydrogenase deficiency	Transient neonatal MAD deficiency	
329942	Transient neonatal multiple acyl-CoA dehydrogenase deficiency	Transient neonatal MADD	
329942	Transient neonatal multiple acyl-CoA dehydrogenase deficiency	Transient neonatal glutaric acidemia type 2	
329942	Transient neonatal multiple acyl-CoA dehydrogenase deficiency	Transient neonatal glutaric aciduria type 2	
329967	Intermittent hydrarthrosis		M12.4
329894	Juvenile overlap myositis		M33.0
329308	Fatty acid hydroxylase-associated neurodegeneration		G23.0
329308	Fatty acid hydroxylase-associated neurodegeneration	FAHN	
329314	Adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency		G71.3
329314	Adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency	Adult-onset multiple mtDNA deletion syndrome due to DGUOK deficiency	
329319	Thrombocythemia with distal limb defects		Q87.2
329319	Thrombocythemia with distal limb defects	Familial thrombocytosis with transverse limb defect	
329319	Thrombocythemia with distal limb defects	Hereditary thrombocytosis with transverse limb defect	
329324	Inverse Klippel-Trénaunay syndrome		Q87.2
329324	Inverse Klippel-Trénaunay syndrome	Cutaneous hemangioma with muscle or bone atrophy	
329284	Beta-propeller protein-associated neurodegeneration		G23.0
329284	Beta-propeller protein-associated neurodegeneration	BPAN	
329284	Beta-propeller protein-associated neurodegeneration	NBIA5	
329284	Beta-propeller protein-associated neurodegeneration	Neurodegeneration with brain iron accumulation type 5	
329284	Beta-propeller protein-associated neurodegeneration	SENDA	
329284	Beta-propeller protein-associated neurodegeneration	Static encephalopathy of childhood with neurodegeneration in adulthood	
329457	Distal arthrogryposis type 5D		Q68.8
329457	Distal arthrogryposis type 5D	DA5D	
329457	Distal arthrogryposis type 5D	Distal arthrogryposis type 5 without ophthalmoparesis	
329457	Distal arthrogryposis type 5D	Distal arthrogryposis type 5 without ophthalmoplegia	
329466	Autosomal dominant focal dystonia, DYT25 type		G24.1
329466	Autosomal dominant focal dystonia, DYT25 type	DYT25	
329466	Autosomal dominant focal dystonia, DYT25 type	Dystonia 25	
329329	Autosomal recessive frontotemporal pachygyria		Q04.3
329332	Microcephaly-cerebellar hypoplasia-cardiac conduction defect syndrome		Q87.8
329332	Microcephaly-cerebellar hypoplasia-cardiac conduction defect syndrome	Microcephaly-cerebellar hypoplasia-congenital heart conduction defect syndrome	
329336	Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy		G71.3
329336	Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy	Adult-onset CPEO with mitochondrial myopathy	
329228	Microcephalic primordial dwarfism due to ZNF335 deficiency		Q87.1
329228	Microcephalic primordial dwarfism due to ZNF335 deficiency	Microcephalic primordial dwarfism, Walsh type	
329224	Intellectual disability-craniofacial dysmorphism-cryptorchidism syndrome		Q87.0
329224	Intellectual disability-craniofacial dysmorphism-cryptorchidism syndrome	PACS1-related syndrome	
329224	Intellectual disability-craniofacial dysmorphism-cryptorchidism syndrome	Schuurs-Hoeijmakers syndrome	
329217	Cerebral sinovenous thrombosis		I67.6
329217	Cerebral sinovenous thrombosis	CSVT	
329211	Autosomal dominant neovascular inflammatory vitreoretinopathy		H35.2
329211	Autosomal dominant neovascular inflammatory vitreoretinopathy	ADNIV	
329195	Developmental delay with autism spectrum disorder and gait instability		F84.8
329195	Developmental delay with autism spectrum disorder and gait instability	Developmental delay with ASD and gait instability	
329191	Tall stature-long halluces-multiple extra-epiphyses syndrome		Q87.3
329191	Tall stature-long halluces-multiple extra-epiphyses syndrome	Tall stature-scoliosis-macrodactyly of the halluces syndrome	
329178	Congenital muscular dystrophy with intellectual disability and severe epilepsy		E77.8
329178	Congenital muscular dystrophy with intellectual disability and severe epilepsy	CDG syndrome type Iu	
329178	Congenital muscular dystrophy with intellectual disability and severe epilepsy	CDG-Iu	
329178	Congenital muscular dystrophy with intellectual disability and severe epilepsy	CDG1U	
329178	Congenital muscular dystrophy with intellectual disability and severe epilepsy	CMD with intellectual disability and severe epilepsy	
329178	Congenital muscular dystrophy with intellectual disability and severe epilepsy	Carbohydrate deficient glycoprotein syndrome type Iu	
329178	Congenital muscular dystrophy with intellectual disability and severe epilepsy	Congenital disorder of glycosylation type 1u	
329178	Congenital muscular dystrophy with intellectual disability and severe epilepsy	Congenital disorder of glycosylation type Iu	
329178	Congenital muscular dystrophy with intellectual disability and severe epilepsy	DPM2-CDG	
329258	Autosomal dominant Charcot-Marie-Tooth disease type 2Q		G60.0
329258	Autosomal dominant Charcot-Marie-Tooth disease type 2Q	CMT2Q	
329242	Congenital chronic diarrhea with protein-losing enteropathy		K52.8
329242	Congenital chronic diarrhea with protein-losing enteropathy	Congenital chronic diarrhea with exudative enteropathy	
329235	X-linked central congenital hypothyroidism with late-onset testicular enlargement		E03.1
329235	X-linked central congenital hypothyroidism with late-onset testicular enlargement	IGSF1 deficiency syndrome	
329235	X-linked central congenital hypothyroidism with late-onset testicular enlargement	X-linked central congenital hypothyroidism with late-onset macroorchidism	
329173	Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis		D89.8
329	Congenital factor XI deficiency		D68.1
329	Congenital factor XI deficiency	Hemophilia C	
329	Congenital factor XI deficiency	PTA deficiency	
329	Congenital factor XI deficiency	Plasma thromboplastin antecedent deficiency	
329	Congenital factor XI deficiency	Rosenthal factor deficiency	
329	Congenital factor XI deficiency	Rosenthal syndrome	
1243	Best vitelliform macular dystrophy		H35.5
1243	Best vitelliform macular dystrophy	BMD	
1243	Best vitelliform macular dystrophy	BVMD	
1243	Best vitelliform macular dystrophy	Best disease	
1243	Best vitelliform macular dystrophy	Best macular dystrophy	
1243	Best vitelliform macular dystrophy	Early-onset vitelliform macular dystrophy	
1243	Best vitelliform macular dystrophy	Juvenile-onset vitelliform macular dystrophy	
1243	Best vitelliform macular dystrophy	Polymorphic vitelline macular degeneration	
1243	Best vitelliform macular dystrophy	Vitelliform macular dystrophy type 2	
325124	Testicular agenesis		Q55.0
325124	Testicular agenesis	Bilateral anorchia	
325345	46,XY ovotesticular difference of sex development		Q56.0
325345	46,XY ovotesticular difference of sex development	46,XY ovotesticular DSD	
325345	46,XY ovotesticular difference of sex development	46,XY ovotesticular disorder of sex development	
324964	Chronic nonbacterial osteomyelitis/Chronic recurrent multifocal osteomyelitis		M86.3
324964	Chronic nonbacterial osteomyelitis/Chronic recurrent multifocal osteomyelitis	CNO/CRMO	
324972	MAGIC syndrome		D89.8
324972	MAGIC syndrome	Mouth and genital ulcers-inflamed cartilage syndrome	
324977	Proteasome-associated autoinflammatory syndrome		D89.8
324977	Proteasome-associated autoinflammatory syndrome	ALDD syndrome	
324977	Proteasome-associated autoinflammatory syndrome	Autoinflammation-lipodystrophy-dermatosis syndrome	
324977	Proteasome-associated autoinflammatory syndrome	PRAAS	
324977	Proteasome-associated autoinflammatory syndrome	Proteasome disability syndrome	
324737	SRD5A3-CDG		E77.8
324737	SRD5A3-CDG	CDG syndrome type Iq	
324737	SRD5A3-CDG	CDG-Iq	
324737	SRD5A3-CDG	CDG1Q	
324737	SRD5A3-CDG	Congenital disorder of glycosylation type 1q	
324737	SRD5A3-CDG	Congenital disorder of glycosylation type Iq	
324648	Invasive non-typhoidal salmonellosis		A02.8
324648	Invasive non-typhoidal salmonellosis	Invasive non-typhoidal salmonella disease	
324648	Invasive non-typhoidal salmonellosis	iNTS disease	
324636	Autoerythrocyte sensitization syndrome		D69.2
324636	Autoerythrocyte sensitization syndrome	GDS	
324636	Autoerythrocyte sensitization syndrome	Gardner-Diamond syndrome	
324636	Autoerythrocyte sensitization syndrome	Painful bruising syndrome	
324636	Autoerythrocyte sensitization syndrome	Psychogenic purpura	
324611	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to KIF5A mutation		G60.0
324611	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to KIF5A mutation	CMT2 due to KIF5A mutation	
324632	Hendra virus infection		B33.8
324625	Chikungunya		A92.0
324588	Familial dyskinesia and facial myokymia		G51.4
324588	Familial dyskinesia and facial myokymia	FDFM	
324601	X-linked cleft palate and ankyloglossia		Q38.6
324581	Benign Samaritan congenital myopathy		G71.2
324585	Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain		G60.0
324585	Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain	Autosomal dominant intermediate CMT disease with neuropathic pain	
324569	Pontocerebellar hypoplasia type 8		Q04.3
324569	Pontocerebellar hypoplasia type 8	PCH8	
324569	Pontocerebellar hypoplasia type 8	Pontocerebellar hypoplasia due to CHMP1A mutation	
324575	Hyperinsulinism due to HNF1A deficiency		E16.1
324575	Hyperinsulinism due to HNF1A deficiency	Hyperinsulinemic hypoglycemia due to HNF1A deficiency	
324540	Aphonia-deafness-retinal dystrophy-bifid halluces-intellectual disability syndrome		Q87.0
324540	Aphonia-deafness-retinal dystrophy-bifid halluces-intellectual disability syndrome	Aphonia-deafness-retinal dystrophy-duplicated halluces-intellectual disability syndrome	
324540	Aphonia-deafness-retinal dystrophy-bifid halluces-intellectual disability syndrome	Aphonia-hearing loss-retinal dystrophy-duplicated halluces-intellectual disability syndrome	
324561	Hypopigmentation-punctate palmoplantar keratoderma syndrome		Q82.8
324561	Hypopigmentation-punctate palmoplantar keratoderma syndrome	Cole disease	
324561	Hypopigmentation-punctate palmoplantar keratoderma syndrome	Guttate hypopigmentation and punctate palmoplantar keratoderma	
324561	Hypopigmentation-punctate palmoplantar keratoderma syndrome	Hypopigmentation and punctate keratosis of the palms and soles	
324530	Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation		D89.8
324530	Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation	APLAID	
324535	Combined oxidative phosphorylation defect type 11		E88.8
324535	Combined oxidative phosphorylation defect type 11	COXPD11	
324525	Hypertrophic cardiomyopathy with kidney anomalies due to mitochondrial DNA mutation		E88.8
324525	Hypertrophic cardiomyopathy with kidney anomalies due to mitochondrial DNA mutation	Hypertrophic cardiomyopathy with kidney anomalies due to mtDNA mutation	
324525	Hypertrophic cardiomyopathy with kidney anomalies due to mitochondrial DNA mutation	Hypertrophic cardiomyopathy with renal anomalies due to mitochondrial DNA mutation	
324442	Autosomal recessive axonal neuropathy with neuromyotonia		G60.0
324442	Autosomal recessive axonal neuropathy with neuromyotonia	ARAN-NM	
324442	Autosomal recessive axonal neuropathy with neuromyotonia	ARCMT2-NM	
324442	Autosomal recessive axonal neuropathy with neuromyotonia	Autosomal recessive Charcot-Marie-Tooth disease type 2 with neuromyotonia	
324416	Muscular hypertrophy-hepatomegaly-polyhydramnios syndrome		Q87.8
324422	ALG13-CDG		E77.8
324422	ALG13-CDG	CDG syndrome type Is	
324422	ALG13-CDG	CDG-Is	
324422	ALG13-CDG	CDG1S	
324422	ALG13-CDG	Congenital disorder of glycosylation type 1s	
324422	ALG13-CDG	Congenital disorder of glycosylation type Is	
324410	X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome		Q87.8
324381	Hereditary inclusion body myopathy type 4		G71.8
324381	Hereditary inclusion body myopathy type 4	HIBM4	
324364	Mixed sclerosing bone dystrophy with extra-skeletal manifestations		M85.8
324353	Congenital achiasma		H47.4
324321	Sinoatrial node dysfunction and deafness		H91.8
324321	Sinoatrial node dysfunction and deafness	Sinoatrial node dysfunction and hearing loss	
324313	9p13 microdeletion syndrome		Q93.5
324313	9p13 microdeletion syndrome	Del(9)(p13)	
324313	9p13 microdeletion syndrome	Monosomy 9p13	
324307	Severe lateral tibial bowing-short stature-mild winged scapula-mild facial dysmorphism syndrome		Q68.4
324299	Multiple paragangliomas associated with polycythemia		D75.1
324299	Multiple paragangliomas associated with polycythemia	Multiple paragangliomas associated with erythrocytosis	
324299	Multiple paragangliomas associated with polycythemia	Paraganglioma-somatostatinoma-polycythemia syndrome	
324294	T-cell immunodeficiency with epidermodysplasia verruciformis		D84.8
324294	T-cell immunodeficiency with epidermodysplasia verruciformis	T-cell immunodeficiency due to RHOH deficiency	
324290	Early-onset Lafora body disease		G40.3
320360	MT-ATP6-related mitochondrial spastic paraplegia		G11.4
320360	MT-ATP6-related mitochondrial spastic paraplegia	Maternally-inherited SPG	
320360	MT-ATP6-related mitochondrial spastic paraplegia	Maternally-inherited spastic paraplegia	
320355	Autosomal dominant spastic paraplegia type 41		G11.4
320355	Autosomal dominant spastic paraplegia type 41	SPG41	
320370	Autosomal recessive spastic paraplegia type 43		G11.4
320370	Autosomal recessive spastic paraplegia type 43	SPG43	
320365	Autosomal dominant spastic paraplegia type 36		G11.4
320365	Autosomal dominant spastic paraplegia type 36	SPG36	
320380	Autosomal recessive spastic paraplegia type 54		G11.4
320380	Autosomal recessive spastic paraplegia type 54	SPG54	
320375	Autosomal recessive spastic paraplegia type 55		G11.4
320375	Autosomal recessive spastic paraplegia type 55	SPG55	
320391	Autosomal recessive spastic paraplegia type 46		G11.4
320391	Autosomal recessive spastic paraplegia type 46	SPG46	
320385	Hereditary sensory and autonomic neuropathy due to TECPR2 mutation		G11.4
320385	Hereditary sensory and autonomic neuropathy due to TECPR2 mutation	Autosomal recessive spastic paraplegia type 49	
320385	Hereditary sensory and autonomic neuropathy due to TECPR2 mutation	HSAN due to TECPR2 mutation	
320385	Hereditary sensory and autonomic neuropathy due to TECPR2 mutation	SPG49	
320401	Autosomal recessive spastic paraplegia type 44		G11.4
320401	Autosomal recessive spastic paraplegia type 44	SPG44	
320396	Autosomal recessive spastic paraplegia type 45		G11.4
320396	Autosomal recessive spastic paraplegia type 45	Autosomal recessive spastic paraplegia type 65	
320396	Autosomal recessive spastic paraplegia type 45	SPG45	
320396	Autosomal recessive spastic paraplegia type 45	SPG65	
320411	Autosomal recessive spastic paraplegia type 56		G11.4
320411	Autosomal recessive spastic paraplegia type 56	SPG56	
320406	Spastic paraplegia-optic atrophy-neuropathy syndrome		G11.4
320406	Spastic paraplegia-optic atrophy-neuropathy syndrome	SPOAN	
319547	Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR2 deficiency		D84.8
319547	Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR2 deficiency	MSMD due to complete IFNgammaR2 deficiency	
319547	Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR2 deficiency	MSMD due to complete interferon gamma receptor 2 deficiency	
319547	Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR2 deficiency	Mendelian susceptibility to mycobacterial diseases due to complete interferon gamma receptor 2 deficiency	
319519	Combined oxidative phosphorylation defect type 14		E88.8
319519	Combined oxidative phosphorylation defect type 14	COXPD14	
319524	Combined oxidative phosphorylation defect type 15		E88.8
319524	Combined oxidative phosphorylation defect type 15	COXPD15	
319509	Combined oxidative phosphorylation defect type 9		E88.8
319509	Combined oxidative phosphorylation defect type 9	COXPD9	
319514	Combined oxidative phosphorylation defect type 13		E88.8
319514	Combined oxidative phosphorylation defect type 13	COXPD13	
319589	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency		D84.8
319589	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency	Autosomal dominant MSMD due to partial IFNgammaR2 deficiency	
319589	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency	Autosomal dominant MSMD due to partial interferon gamma receptor 2 deficiency	
319589	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial interferon gamma receptor 2 deficiency	
319595	Mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency		D84.8
319595	Mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency	MSMD due to partial STAT1 deficiency	
319595	Mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency	MSMD due to partial signal transducer and activator of transcription 1 deficiency	
319595	Mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency	Mendelian susceptibility to mycobacterial diseases due to partial signal transducer and activator of transcription 1 deficiency	
319574	Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency		D84.8
319574	Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency	Autosomal recessive MSMD due to partial IFNgammaR2 deficiency	
319574	Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency	Autosomal recessive MSMD due to partial interferon gamma receptor 2 deficiency	
319574	Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency	Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial interferon gamma receptor 2 deficiency	
319581	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency		D84.8
319581	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency	Autosomal dominant MSMD due to partial IFNgammaR1 deficiency	
319581	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency	Autosomal dominant MSMD due to partial interferon gamma receptor 1 deficiency	
319581	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency	Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial interferon gamma receptor 1 deficiency	
319563	Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency		D84.8
319563	Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency	MSMD due to complete ISG15 deficiency	
319569	Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency		D84.8
319569	Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency	Autosomal recessive MSMD due to partial IFNgammaR1 deficiency	
